elo1,elo2
1530.864,1595.639
1635.811,1438.992
1557.675,1471.62
1469.013,1567.18
1416.675,1448.211
1470.472,1299.23
1404.929,1597.511
1581.111,1490.003
1484.893,1434.743
1416.034,1653.948
1577.621,1596.092
1583.152,1401.247
1422.165,1459.806
1430.438,1569.268
1671.131,1406.734
1463.64,1453.041
1517.69,1475.586
1294.116,1511.605
1468.818,1398.851
1497.471,1424.819
1563.38,1526.481
1475.022,1557.235
1573.743,1516.553
1621.854,1644.366
1474.947,1512.205
1558.794,1505.312
1619.953,1455.863
1677.281,1487.164
1491.909,1531.066
1646.267,1300.409
1394.442,1407.025
1494.513,1590.208
1400.584,1578.091
1589.956,1424.772
1560.594,1466.427
1482.354,1498.762
1380.504,1439.111
1583.505,1549.903
1489.507,1553.971
1296.148,1603.522
1463.222,1620.491
1650.528,1600.945
1449.491,1529.886
1381.692,1510.135
1516.761,1499.605
1577.53,1458.986
1445.511,1413.783
1559.753,1368.563
1491.609,1432.904
1360.629,1630.304
1596.983,1487.547
1464.23,1647.684
1532.99,1503.466
1504.169,1600.816
1451.176,1471.29
1563.046,1583.17
1458.675,1494.248
1505.359,1470.452
1576.125,1583.525
1477.461,1357.818
1450.36,1469.282
1510.778,1422.554
1552.032,1439.078
1493.699,1493.28
1402.444,1531.849
1627.603,1587.869
1515.638,1509.297
1448.151,1597.276
1487.26,1474.321
1435.206,1463.323
1535.424,1481.18
1523.657,1437.286
1542.849,1526.262
1389.394,1464.847
1459.011,1471.49
1623.805,1445.885
1614.191,1459.366
1610.792,1391.444
1527.16,1618.195
1516.445,1545.459
1464.417,1512.786
1426.924,1552.369
1503.818,1369.321
1618.504,1491.864
1484.921,1505.234
1496.525,1469.717
1522.281,1470.52
1437.33,1578.153
1459.981,1453.495
1495.404,1561.007
1445.034,1472.565
1383.631,1546.831
1640.121,1500.897
1618.605,1632.36
1511.729,1365.839
1631.212,1470.684
1468.961,1640.618
1361.409,1442.792
1547.116,1487.078
1610.347,1488.93
1488.184,1459.324
1547.983,1461.62
1521.194,1404.588
1564.624,1467.5
1509.295,1652.088
1574.705,1506.919
1429.416,1490.125
1479.156,1531.18
1497.275,1498.834
1428.167,1450.389
1509.863,1376.035
1514.83,1491.236
1500.375,1409.678
1478.607,1426.947
1453.968,1449.535
1497.972,1633.909
1495.267,1584.349
1467.987,1620.67
1509.961,1519.364
1536.857,1353.759
1670.148,1659.19
1523.809,1555.635
1406.274,1678.482
1477.709,1499.134
1453.046,1477.555
1478.73,1591.427
1654.326,1389.445
1430.197,1520.608
1399.155,1467.235
1544.083,1527.336
1589.523,1488.016
1485.243,1518.399
1650.856,1499.28
1612.381,1473.306
1346.531,1425.51
1486.743,1544.085
1657.466,1536.223
1449.972,1462.15
1465.139,1426.867
1417.256,1509.698
1496.463,1467.419
1496.654,1465.103
1503.734,1322.069
1449.133,1559.5
1511.74,1589.032
1575.324,1567.841
1568.678,1494.833
1511.919,1653.674
1386.305,1392.58
1485.666,1692.177
1538.613,1481.818
1444.907,1475.388
1673.613,1639.816
1467.215,1526.815
1495.934,1514.393
1388.341,1604.55
1510.244,1617.77
1538.615,1451.513
1520.076,1408.471
1525.777,1588.123
1361.363,1483.003
1311.41,1518.272
1681.908,1483.536
1417.522,1445.609
1415.908,1530.441
1481.026,1530.866
1489.565,1494.334
1419.539,1473.596
1463.353,1479.886
1456.943,1303.427
1488.793,1526.255
1619.509,1489.585
1447.223,1658.925
1654.504,1506.145
1509.008,1373.383
1607.754,1350.032
1638.429,1509.102
1505.237,1691.848
1454.226,1464.778
1513.647,1609.293
1476.8,1387.496
1502.436,1345.814
1507.263,1505.255
1478.644,1504.629
1553.88,1384.982
1497.408,1675.52
1611.972,1496.52
1551.356,1501.402
1593.651,1632.294
1295.591,1489.013
1700.566,1443.913
1505.639,1430.629
1435.239,1565.57
1376.168,1483.851
1442.46,1376.966
1409.601,1627.327
1493.883,1511.838
1481.165,1689.077
1471.284,1476.544
1528.536,1647.387
1419.331,1709.239
1529.261,1483.981
1629.057,1487.188
1578.557,1503.869
1272.766,1516.936
1479.404,1488.127
1457.137,1491.466
1441.552,1597.93
1512.598,1633.739
1496.657,1311.254
1678.776,1509.064
1482.506,1543.672
1502.976,1478.448
1525.979,1720.295
1617.998,1395.969
1557.926,1460.886
1467.986,1408.275
1640.959,1444.853
1358.539,1392.034
1484.496,1500.645
1690.093,1488.023
1496.542,1615.224
